tfidf_text_extraction_fns,tfidf_threshold,tfidf_uncertain_threshold,d2v_text_extraction_fn,d2v_threshold,d2v_vector_size,d2v_min_count,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
content,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,50.0,1.0,74,115,68,0.391534391534391,0.52112676056338,0.447129909365558,0.209631728045325,0.41202672605790647
content,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,100.0,5.0,77,104,65,0.42541436464088406,0.5422535211267601,0.47678018575851305,0.225146198830409,0.4445727482678984
content,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,100.0,1.0,77,115,65,0.401041666666666,0.5422535211267601,0.46107784431137705,0.21813031161473,0.4230769230769231
content,0.6000000000000001,0.30000000000000004,content,0.30000000000000004,100.0,10.0,74,105,68,0.41340782122905,0.52112676056338,0.46105919003115203,0.21574344023323602,0.43123543123543123
content,0.6000000000000001,0.30000000000000004,content,0.5,50.0,1.0,69,79,73,0.46621621621621606,0.48591549295774605,0.475862068965517,0.217665615141955,0.47002724795640327
content,0.6000000000000001,0.30000000000000004,content,0.5,50.0,5.0,66,58,76,0.532258064516129,0.464788732394366,0.49624060150375904,0.22297297297297203,0.5172413793103449
content,0.6000000000000001,0.30000000000000004,content,0.5,50.0,10.0,62,54,80,0.5344827586206891,0.436619718309859,0.48062015503875904,0.21232876712328702,0.5115511551155115
content,0.6000000000000001,0.30000000000000004,content,0.5,100.0,5.0,56,40,86,0.583333333333333,0.394366197183098,0.47058823529411703,0.20143884892086303,0.532319391634981
content,0.6000000000000001,0.30000000000000004,content,0.5,100.0,1.0,61,52,81,0.539823008849557,0.42957746478873204,0.478431372549019,0.210344827586206,0.5134680134680135
content,0.6000000000000001,0.30000000000000004,content,0.5,100.0,10.0,52,38,90,0.5777777777777771,0.366197183098591,0.448275862068965,0.188405797101449,0.5179282868525896
content,0.6000000000000001,0.5,content,0.30000000000000004,50.0,1.0,68,75,74,0.475524475524475,0.478873239436619,0.47719298245614006,0.217252396166134,0.47619047619047616
content,0.6000000000000001,0.5,content,0.30000000000000004,50.0,5.0,69,69,73,0.5,0.48591549295774605,0.49285714285714205,0.22475570032573203,0.49711815561959655
content,0.6000000000000001,0.5,content,0.30000000000000004,50.0,10.0,70,70,72,0.5,0.492957746478873,0.496453900709219,0.22727272727272702,0.4985754985754986
content,0.6000000000000001,0.5,content,0.30000000000000004,100.0,5.0,67,73,75,0.47857142857142804,0.47183098591549205,0.475177304964538,0.21543408360128602,0.4772079772079772
content,0.6000000000000001,0.5,content,0.30000000000000004,100.0,1.0,69,67,73,0.50735294117647,0.48591549295774605,0.496402877697841,0.22622950819672102,0.5029154518950437
content,0.6000000000000001,0.5,content,0.30000000000000004,100.0,10.0,71,70,71,0.5035460992907801,0.5,0.501766784452296,0.23051948051948,0.5028328611898017
content,0.6000000000000001,0.5,content,0.5,50.0,1.0,70,57,72,0.5511811023622041,0.492957746478873,0.520446096654275,0.23728813559322,0.5384615384615384
content,0.6000000000000001,0.5,content,0.5,50.0,5.0,61,45,81,0.5754716981132071,0.42957746478873204,0.491935483870967,0.21554770318021202,0.5388692579505301
content,0.6000000000000001,0.5,content,0.5,50.0,10.0,56,48,86,0.538461538461538,0.394366197183098,0.45528455284552805,0.195804195804195,0.5017921146953405
content,0.6000000000000001,0.5,content,0.5,100.0,5.0,55,37,87,0.5978260869565211,0.38732394366197104,0.47008547008547,0.2,0.5392156862745098
content,0.6000000000000001,0.5,content,0.5,100.0,1.0,61,47,81,0.564814814814814,0.42957746478873204,0.48799999999999905,0.21403508771929802,0.5313588850174216
content,0.6000000000000001,0.5,content,0.5,100.0,10.0,53,34,89,0.60919540229885,0.37323943661971803,0.462882096069869,0.19485294117647,0.5408163265306123
header + concept name,0.4,0.30000000000000004,content,0.30000000000000004,50.0,5.0,52,33,90,0.6117647058823531,0.366197183098591,0.45814977973568205,0.18571428571428503,0.5394190871369294
header + concept name,0.4,0.30000000000000004,content,0.30000000000000004,50.0,1.0,54,38,88,0.58695652173913,0.380281690140845,0.461538461538461,0.18947368421052602,0.5294117647058824
header + concept name,0.4,0.30000000000000004,content,0.30000000000000004,50.0,10.0,57,36,85,0.6129032258064511,0.40140845070422504,0.48510638297872305,0.20141342756183703,0.5544747081712063
header + concept name,0.4,0.30000000000000004,content,0.30000000000000004,100.0,5.0,56,38,86,0.595744680851063,0.394366197183098,0.47457627118644,0.19649122807017502,0.5405405405405406
header + concept name,0.4,0.30000000000000004,content,0.30000000000000004,100.0,1.0,54,37,88,0.5934065934065931,0.380281690140845,0.463519313304721,0.190140845070422,0.5335968379446641
header + concept name,0.4,0.30000000000000004,content,0.30000000000000004,100.0,10.0,57,37,85,0.6063829787234041,0.40140845070422504,0.48305084745762705,0.20070422535211202,0.5501930501930502
header + concept name,0.4,0.30000000000000004,content,0.5,50.0,5.0,51,33,91,0.6071428571428571,0.35915492957746403,0.451327433628318,0.18214285714285702,0.5334728033472803
header + concept name,0.4,0.30000000000000004,content,0.5,50.0,1.0,54,35,88,0.606741573033707,0.380281690140845,0.467532467532467,0.19148936170212702,0.5421686746987951
header + concept name,0.4,0.30000000000000004,content,0.5,50.0,10.0,50,32,92,0.609756097560975,0.352112676056338,0.446428571428571,0.17921146953405,0.5319148936170213
header + concept name,0.4,0.30000000000000004,content,0.5,100.0,5.0,48,31,94,0.60759493670886,0.338028169014084,0.43438914027149306,0.17266187050359702,0.5240174672489083
header + concept name,0.4,0.30000000000000004,content,0.5,100.0,1.0,52,33,90,0.6117647058823531,0.366197183098591,0.45814977973568205,0.18571428571428503,0.5394190871369294
