preprocessing,attributes,threshold,iterative,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
lemmatize,"['header', 'concept name']",0.8,0.0,8,1,134,0.8888888888888881,0.056338028169014,0.105960264900662,0.02572347266881,0.2247191011235955
,"['header', 'concept name', 'concept definitions']",0.2,0.0,63,82,79,0.434482758620689,0.44366197183098505,0.43902439024390205,0.24609375,0.4362880886426593
,"['header', 'concept name', 'concept definitions']",0.4,0.0,51,44,91,0.536842105263157,0.35915492957746403,0.43037974683544306,0.190298507462686,0.4885057471264368
,"['header', 'concept name', 'concept definitions']",0.6000000000000001,0.0,29,8,113,0.7837837837837831,0.204225352112676,0.324022346368715,0.1,0.5
,"['header', 'concept name', 'concept definitions']",0.8,0.0,7,1,135,0.875,0.049295774647887,0.093333333333333,0.022435897435897002,0.20114942528735633
,"['header', 'concept subject', 'concept definitions']",0.2,0.0,50,82,92,0.378787878787878,0.352112676056338,0.36496350364963503,0.18587360594795502,0.373134328358209
,"['header', 'concept subject', 'concept definitions']",0.4,0.0,45,59,97,0.43269230769230704,0.316901408450704,0.365853658536585,0.164233576642335,0.4032258064516129
,"['header', 'concept subject', 'concept definitions']",0.6000000000000001,0.0,29,21,113,0.58,0.204225352112676,0.30208333333333304,0.1,0.4239766081871345
,"['header', 'concept subject', 'concept definitions']",0.8,0.0,7,2,135,0.777777777777777,0.049295774647887,0.09271523178807901,0.022435897435897002,0.19662921348314608
,"['header', 'concept subject', 'concept name']",0.2,0.0,64,79,78,0.44755244755244705,0.450704225352112,0.44912280701754304,0.250980392156862,0.4481792717086835
,"['header', 'concept subject', 'concept name']",0.4,0.0,48,37,94,0.5647058823529411,0.338028169014084,0.42290748898678404,0.17712177121771203,0.4979253112033195
,"['header', 'concept subject', 'concept name']",0.6000000000000001,0.0,19,5,123,0.7916666666666661,0.13380281690140802,0.228915662650602,0.063333333333333,0.39915966386554624
,"['header', 'concept subject', 'concept name']",0.8,0.0,4,0,138,1.0,0.028169014084507,0.054794520547945,0.012698412698412001,0.12658227848101267
,"['concept definitions', 'concept subject', 'concept name']",0.2,0.0,31,73,111,0.298076923076923,0.218309859154929,0.252032520325203,0.107638888888888,0.2777777777777778
,"['concept definitions', 'concept subject', 'concept name']",0.4,0.0,30,62,112,0.326086956521739,0.211267605633802,0.256410256410256,0.10380622837370201,0.29411764705882354
,"['concept definitions', 'concept subject', 'concept name']",0.6000000000000001,0.0,22,17,120,0.5641025641025641,0.154929577464788,0.24309392265193303,0.074074074074074,0.3691275167785235
,"['concept definitions', 'concept subject', 'concept name']",0.8,0.0,3,3,139,0.5,0.02112676056338,0.04054054054054,0.009493670886075,0.09036144578313253
lemmatize,"['header', 'concept name', 'concept definitions']",0.6000000000000001,0.0,26,12,116,0.684210526315789,0.183098591549295,0.28888888888888803,0.08873720136518701,0.4421768707482993
lemmatize,"['header', 'concept name', 'concept definitions']",0.2,0.0,56,86,86,0.394366197183098,0.394366197183098,0.394366197183098,0.21292775665399202,0.39436619718309857
lemmatize,"['header', 'concept name', 'concept definitions']",0.4,0.0,47,50,95,0.484536082474226,0.33098591549295703,0.393305439330543,0.17279411764705802,0.44339622641509435
lemmatize,"['header', 'concept name', 'concept definitions']",0.8,0.0,10,2,132,0.833333333333333,0.07042253521126701,0.129870129870129,0.032362459546925,0.2631578947368421
lemmatize,['content'],0.2,0.0,64,79,78,0.44755244755244705,0.450704225352112,0.44912280701754304,0.250980392156862,0.4481792717086835
lemmatize,['content'],0.8,0.0,0,0,142,,0.0,,0.0,0.0
lemmatize,['content'],0.4,0.0,37,28,105,0.5692307692307691,0.26056338028169,0.35748792270531404,0.13120567375886502,0.4601990049751244
lemmatize,['content'],0.6000000000000001,0.0,8,1,134,0.8888888888888881,0.056338028169014,0.105960264900662,0.02572347266881,0.2247191011235955
