attributes,category_extraction_fns,threshold,weights,n_clusters_options,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[1, 1, 1, 1, 1]",[120],12,5,130,0.7058823529411761,0.084507042253521,0.150943396226415,0.039087947882736,0.2857142857142857
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[2, 1, 1, 1, 1]",[60],4,19,138,0.17391304347826,0.028169014084507,0.048484848484848006,0.012698412698412001,0.08547008547008547
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[2, 1, 1, 1, 1]",[80],5,18,137,0.21739130434782603,0.035211267605633,0.060606060606060004,0.01592356687898,0.10683760683760683
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[2, 1, 1, 1, 1]",[100],5,13,137,0.277777777777777,0.035211267605633,0.0625,0.01592356687898,0.11682242990654206
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[3, 1, 1, 1, 1]",[40],6,34,136,0.15,0.04225352112676,0.065934065934065,0.019169329073482,0.09933774834437085
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[2, 1, 1, 1, 1]",[120],5,10,137,0.33333333333333304,0.035211267605633,0.06369426751592301,0.01592356687898,0.12376237623762376
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[3, 1, 1, 1, 1]",[60],5,31,137,0.138888888888888,0.035211267605633,0.05617977528089801,0.01592356687898,0.08741258741258741
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[3, 1, 1, 1, 1]",[80],5,27,137,0.15625,0.035211267605633,0.05747126436781601,0.01592356687898,0.09259259259259259
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[4, 1, 1, 1, 1]",[80],5,50,137,0.09090909090909001,0.035211267605633,0.050761421319796,0.01592356687898,0.06906077348066299
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[4, 1, 1, 1, 1]",[60],5,55,137,0.08333333333333301,0.035211267605633,0.049504950495049,0.01592356687898,0.06544502617801047
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[3, 1, 1, 1, 1]",[100],5,23,137,0.17857142857142802,0.035211267605633,0.058823529411764004,0.01592356687898,0.0984251968503937
